SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,PHYTO_ABUNDANCE_M3
464-5,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3
464-21,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,666.7
467-25,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,3333.3
266-57,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3
469-1,Nematocysts,Other,(null),(null),3333.3
469-73,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,3333.3
391-15,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
391-15,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
391-6,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
391-23,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
391-23,Undella spp.,Ciliate,Undella,spp.,6666.7
391-35,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
391-50,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,13333.3
481-73,Guinardia striata,Centric diatom,Guinardia,striata,3333.3
481-89,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,3333.3
457-37,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,3333.3
463-17,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,6666.7
467-33,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
467-65,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,3333.3
467-65,Tripos macroceros type,Dinoflagellate,Tripos (Tripoceratium),macroceros type,3333.3
467-77,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,20000
478-5,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
468-5,Guinardia striata,Centric diatom,Guinardia,striata,3333.3
468-13,Leptocylindrus spp.,Centric diatom,Leptocylindrus,spp.,3333.3
391-16,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,6666.7
391-18,Undella spp.,Ciliate,Undella,spp.,3333.3
391-34,Corethron spp.,Centric diatom,Corethron,spp.,6666.7
391-44,Corethron spp.,Centric diatom,Corethron,spp.,10000
391-48,Phaeocystis cf. spp. (colony <50 um),Flagellate,cf. Phaeocystis,spp.,10000
480-53,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
480-53,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,6666.7
469-33,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,200000
471-4,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
481-57,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,3333.3
505-9,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,3333.3
471-11,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,23333.3
471-20,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
458-25,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
458-73,Rhizosolenia imbricata group,Centric diatom,Rhizosolenia,cf. imbricata,3333.3
467-45,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
391-14,Proboscia alata,Centric diatom,Proboscia,alata,10000
391-14,Unid round green object,Other,(null),(null),3333.3
480-33,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,3333.3
480-49,Nitzschia cf. bicapitata,Pennate diatom,Nitzschia,cf. bicapitata,3333.3
480-37,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
480-37,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,6666.7
481-53,Acantharia,Radiozoa,(null),(null),13333.3
471-29,Centric diatom 10-20 µm,Centric diatom,(null),(null),3333.3
471-28,Tripos fusus type,Dinoflagellate,Tripos (Amphiceratium),fusus type,6666.7
471-33,Nitzschia longissima,Pennate diatom,Nitzschia,longissima,3333.3
471-37,Centric diatom 10-20 µm,Centric diatom,(null),(null),10000
480-25,Nematocysts,Other,(null),(null),3333.3
482-1,Rhizosolenia setigera group,Centric diatom,Rhizosolenia,cf. setigera,3333.3
481-1,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,666.7
505-29,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,3333.3
505-33,Dadayiella ganymedes,Ciliate,Dadayiella,ganymedes,3333.3
481-9,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
471-31,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
481-25,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
481-81,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,666.7
481-85,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
482-49,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
478-13,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,46666.7
457-29,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
464-29,Leptocylindrus spp.,Centric diatom,Leptocylindrus,spp.,3333.3
468-41,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,3333.3
468-61,Lauderia spp.,Centric diatom,Lauderia,spp.,3333.3
516-25,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,13333.3
473-7,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000
473-7,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,40000
473-17,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),3333.3
473-31,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,33333.3
473-33,Dactyliosolen spp.,Centric diatom,Dactyliosolen,spp.,3333.3
473-34,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,13333.3
473-34,Fragilariopsis pseudonana,Pennate diatom,Fragilariopsis,pseudonana,3333.3
473-44,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
530-33,Thalassiosira spp. 20-30 µm,Centric diatom,Thalassiosira,spp.,3333.3
473-44,Fragilariopsis ritscheri,Pennate diatom,Fragilariopsis,ritscheri,10000
473-53,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7
517-25,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,6666.7
517-49,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,93333.3
517-53,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
517-57,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000
517-61,Thalassiosira spp. <10 µm,Centric diatom,Thalassiosira,spp.,93333.3
517-69,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000
493-9,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
471-55,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
513-9,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,10000
513-9,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
513-61,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
513-45,Ceratocorys horrida,Dinoflagellate,Ceratocorys,horrida,666.7
514-53,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,6666.7
471-59,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,6666.7
471-61,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3
471-67,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
471-68,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7
472-8,Corethron spp.,Centric diatom,Corethron,spp.,3333.3
472-11,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
483-5,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,6666.7
472-19,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,10000
471-44,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
471-52,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
513-5,Guinardia spp.,Centric diatom,Guinardia,spp.,3333.3
472-31,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,13333.3
472-43,Fragilariopsis curta,Pennate diatom,Fragilariopsis,curta,3333.3
516-13,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,30000
516-21,Guinardia flaccida,Centric diatom,Guinardia,flaccida,3333.3
516-21,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,3333.3
470-12,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,3333.3
470-28,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),3333.3
471-57,Nitzschia longissima,Pennate diatom,Nitzschia,longissima,6666.7
470-44,Fragilaria spp.,Pennate diatom,Fragilaria,spp.,3333.3
470-3,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3
470-6,Tripos teres,Dinoflagellate,Tripos (Ceratium),teres,3333.3
470-22,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
470-34,Navicula cf. 60-80 µm length,Pennate diatom,(null),(null),6666.7
470-50,Proboscia alata,Centric diatom,Proboscia,alata,6666.7
470-66,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
470-70,Unid dinoflagellate 10 - 30 µm,Dinoflagellate,(null),(null),6666.7
472-52,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3
472-55,Proboscia inermis,Centric diatom,Proboscia,inermis,6666.7
472-56,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3
472-59,Phaeocystis cf. spp. (colony <50 um),Flagellate,cf. Phaeocystis,spp.,3333.3
472-62,Centric diatom 30-40 µm,Centric diatom,(null),(null),6666.7
472-62,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3
472-63,Fragilariopsis pseudonana,Pennate diatom,Fragilariopsis,pseudonana,10000
472-66,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3
472-66,Unid autotroph 10-20 µm,Dinoflagellate,(null),(null),3333.3
472-67,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,200000
472-69,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6666.7
472-70,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,30000
472-72,Fragilariopsis pseudonana,Pennate diatom,Fragilariopsis,pseudonana,6666.7
470-82,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,3333.3
530-41,Oxyphysis oxytoxoides,Dinoflagellate,Oxyphysis,oxytoxoides,3333.3
531-1,Navicula cf. <20 µm length,Pennate diatom,(null),(null),3333.3
472-82,Acanthostomella norvegica,Ciliate,Acanthostomella,norvegica,3333.3
472-79,Navicula - shaped,Pennate diatom,(null),(null),3333.3
472-84,Navicula - shaped,Pennate diatom,(null),(null),3333.3
516-1,Tripos muelleri type,Dinoflagellate,Ceratium,muelleri type,666.7
491-5,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
491-13,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,666.7
487-9,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
473-1,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
500-9,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
500-5,Tripos pulchellus,Dinoflagellate,Tripos,pulchellus,666.7
498-5,Amphisolenia thrinax,Dinoflagellate,Amphisolenia,thrinax,666.7
498-9,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
498-1,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7
498-13,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,666.7
5-17,Nematocysts,Other,(null),(null),3333.3
6-49,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,93333.3
6-57,Fungal spores,Other,(null),(null),3333.3
6-89,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
18-5,Nematocysts,Other,(null),(null),3333.3
15-57,Nematocysts,Other,(null),(null),3333.3
15-61,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,3333.3
14-53,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7
14-77,Radiolarian,Radiozoa,(null),(null),3333.3
4-65,Guinardia spp.,Centric diatom,Guinardia,spp.,3539.3
7-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3551.7
19-77,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
12-25,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
13-1,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,10000
13-69,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,3333.3
13-33,Nematocysts,Other,(null),(null),6666.7
7-57,Fungal hyphae,Other,(null),(null),319650
7-73,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3551.7
9-13,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,13333.3
43-1,Undella spp.,Ciliate,Undella,spp.,3666.7
43-53,Radiolarian,Radiozoa,(null),(null),733.3
45-45,Nematocysts,Other,(null),(null),60000
45-37,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,666.7
13-37,Tripos spp.,Dinoflagellate,Tripos,spp.,13333.3
9-1,Lauderia spp.,Centric diatom,Lauderia,spp.,3333.3
60-25,Nitzschia spp.,Pennate diatom,Nitzschia,spp.,3333.3
76-21,Fungal spores,Other,(null),(null),6666.7
76-41,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,6666.7
76-77,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3333.3
76-81,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
3-17,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,666.7
18-37,Proboscia spp.,Centric diatom,Proboscia,spp.,6666.7
8-9,Aspergillus sydowii,Other,Aspergillus,sydowii,6666.7
19-57,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
13-53,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
43-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,66000
43-21,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,3666.7
43-61,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,733.3
1-18,Nematocysts,Other,(null),(null),3333.3
1-17,Acantharia,Radiozoa,(null),(null),3333.3
1-37,Navicula - shaped,Pennate diatom,(null),(null),3333.3
1-41,Tripos longipes,Dinoflagellate,Tripos (Tripoceratium),longipes,3333.3
2-49,Silicoflagellate,Silicoflagellate,Dictyocha,spp.,3333.3
2-93,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
15-13,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
12-41,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3
19-53,Sagenoarium spp.,Radiozoa,Sagenoarium,spp.,3333.3
43-49,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,3666.7
75-21,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
88-3,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3
88-15,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3
89-34,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7
89-35,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
89-51,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,6666.7
90-3,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,46666.7
90-16,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7
91-44,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
91-45,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
92-2,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,6666.7
92-3,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
92-5,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
92-6,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7
92-11,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,40000
92-16,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
92-19,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
92-31,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
93-5,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
93-6,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
93-6,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
93-7,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,6666.7
93-8,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,53333.3
52-5,Parundella spp.,Ciliate,Parundella,spp.,3333.3
53-65,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,6666.7
91-3,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,13333.3
91-13,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
91-21,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
53-5,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3
91-27,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3
91-32,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,10000
91-35,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,13333.3
91-38,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,6666.7
91-39,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3
91-40,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,10000
91-42,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
52-17,Dactyliosolen spp.,Centric diatom,Dactyliosolen,spp.,3333.3
52-17,Guinardia spp.,Centric diatom,Guinardia,spp.,3333.3
86-9,Corethron inerme,Centric diatom,Corethron,inerme,3333.3
86-71,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
86-77,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,23333.3
87-17,Corethron pennatum,Centric diatom,Corethron,pennatum,13333.3
87-26,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,10000
87-30,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,10000
87-33,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
87-33,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
87-33,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3
87-34,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3
87-39,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,6666.7
87-43,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,10000
87-62,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
88-1,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
176-25,Foraminifera,Foraminifera,(null),(null),3333.3
176-37,Lauderia spp.,Centric diatom,Lauderia,spp.,3333.3
176-65,Guinardia spp.,Centric diatom,Guinardia,spp.,3333.3
187-13,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
189-21,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3
129-33,Foraminifera,Foraminifera,(null),(null),666.7
189-49,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,3333.3
209-63,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
209-63,Pennate diatom,Pennate diatom,(null),(null),3333.3
220-20,Chaetoceros bulbosus,Centric diatom,Chaetoceros,bulbosus,6666.7
213-81,Tripos muelleri type,Dinoflagellate,Ceratium,muelleri type,3333.3
220-67,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,6666.7
220-73,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,3333.3
213-57,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,666.7
206-37,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
206-21,Guinardia spp.,Centric diatom,Guinardia,spp.,3333.3
206-69,Plastic,Other,(null),(null),666.7
211-1,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7
271-73,Dinophysis tripos,Dinoflagellate,Dinophysis,tripos,3333.3
271-53,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3
268-53,Foraminifera,Foraminifera,(null),(null),666.7
239-13,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
270-65,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,666.7
244-9,Plastic,Other,(null),(null),666.7
93-9,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3
93-12,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,23333.3
93-13,Tripos fusus/extensus,Dinoflagellate,Tripos (Amphiceratium),fusus/extensus,3333.3
93-14,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,13333.3
93-15,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,6666.7
93-15,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,6666.7
93-15,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3
93-16,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
93-19,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3
93-24,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
93-25,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7
93-25,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,13333.3
93-25,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
93-25,Proboscia truncata,Centric diatom,Proboscia,truncata,6666.7
93-30,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,6666.7
93-38,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3
94-1,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,13333.3
94-1,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000
94-3,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,46666.7
94-3,Cocconeis fasciolata,Pennate diatom,Cocconeis,fasciolata,3333.3
94-5,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),6666.7
94-7,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),10000
94-9,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,6666.7
94-24,Tripos fusus/extensus,Dinoflagellate,Tripos (Amphiceratium),fusus/extensus,13333.3
177-65,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,3333.3
61-5,Plastic,Other,(null),(null),666.7
178-69,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,23333.3
177-61,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,666.7
215-5,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,3333.3
215-10,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7
215-10,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,6666.7
215-35,Ciliate (Inc. tintinnid),Ciliate,(null),(null),3333.3
215-39,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3
215-85,Coccolithophore cf.,Coccolithophore,(null),(null),6666.7
215-89,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,6666.7
219-9,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,10000
219-11,Codonellopsis pusilla,Ciliate,Codonellopsis,pusilla,3333.3
219-17,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
219-17,Thalassionema nitzschioides,Pennate diatom,Thalassionema,nitzschioides,3333.3
219-34,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
220-23,Codonellopsis pusilla,Ciliate,Codonellopsis,pusilla,6666.7
209-10,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3
209-14,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
209-18,Corethron spp.,Centric diatom,Corethron,spp.,3333.3
209-21,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,13333.3
220-49,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,13333.3
220-60,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,3333.3
220-63,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,13333.3
211-60,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,13333.3
244-57,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,6666.7
244-65,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,3333.3
240-21,Acantharia,Radiozoa,(null),(null),23333.3
240-37,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,3333.3
240-17,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,3333.3
240-17,Climacodium spp.,Centric diatom,Climacodium,spp.,6666.7
209-50,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3
209-52,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3
209-54,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7
209-59,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000
209-60,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3
209-76,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000
209-76,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,10000
