SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,PHYTO_ABUNDANCE_M3,BIOVOL_UM3_M3
93-42,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
93-46,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
93-49,Proboscia alata,Centric diatom,Proboscia,alata,10000,663660887.5
93-50,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
94-3,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3,4673115.125
65-13,Actinopoda,Radiozoa,(null),(null),666.7,349065.5555555555555555555555555555555545
65-32,Tripos spp.,Dinoflagellate,Tripos,spp.,3333.3,200000000
65-33,Leptocylindrus spp.,Centric diatom,Leptocylindrus,spp.,3333.3,10519090.51666666666666666666666666666667
65-33,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,3333.3,13635373.26388888888888888888888888888887
64-5,Corethron spp.,Centric diatom,Corethron,spp.,6666.7,80448702.25694444444444444444444444444465
64-13,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,3333.3,13635373.26388888888888888888888888888887
113-9,Plastic,Other,(null),(null),666.7,(null)
113-13,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3333.3,523598333.333333333333333333333333333334
114-21,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
129-1,Lauderia spp.,Centric diatom,Lauderia,spp.,3333.3,117809625
129-9,Plastic,Other,(null),(null),666.7,(null)
190-9,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,23333.3,95447612.84722222222222222222222222222193
190-41,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,6666.7,41050109.33333333333333333333333333333332
98-13,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
112-9,Codonellopsis spp.,Ciliate,Codonellopsis,spp.,3333.3,265289822.222222222222222222222222222222
112-21,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3,78539749.9999999999999999999999999999998
112-33,Dictyocha fibula,Silicoflagellate,Dictyocha,fibula,10000,40906119.7916666666666666666666666666666
112-41,Tripos horridus,Dinoflagellate,Tripos (Tripoceratium),horridus,666.7,22165662.77777777777777777777777777777774
112-65,Proboscia spp.,Centric diatom,Proboscia,spp.,6666.7,442440591.666666666666666666666666666667
116-13,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,666.7,254468789.999999999999999999999999999999
116-25,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
117-17,Rhabdonella spp.,Ciliate,Rhabdonella,spp.,3333.3,436331944.444444444444444444444444444446
127-9,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,6666.7,1333333.33333333333333333333333333333333
127-9,Tripos horridus,Dinoflagellate,Tripos (Tripoceratium),horridus,666.7,22165662.77777777777777777777777777777774
130-17,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7,43284128.88888888888888888888888888888889
108-13,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,673.3,96353612.49666666666666666666666666666648
108-17,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6733.3,21153372.66666666666666666666666666666666
108-29,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10100,31730059
108-29,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,673.3,257013477.899999999999999999999999999999
108-33,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10100,31730059
108-49,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,70700,222110413
108-65,Plastic,Other,(null),(null),673.3,(null)
145-22,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7,39269874.99999999999999999999999999999999
145-42,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3,3834485.12777777777777777777777777777778
145-45,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3,8754564.13333333333333333333333333333334
145-46,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7,17509128.26666666666666666666666666666666
146-2,Proboscia spp.,Centric diatom,Proboscia,spp.,3333.3,221220295.833333333333333333333333333333
146-5,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
146-12,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3,1272343950.000000000000000000000000000001
146-13,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
146-14,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,10000,14019345.375
146-16,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,13333.3,35018256.53333333333333333333333333333325
146-25,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,46666.7,65423611.75000000000000000000000000000005
146-30,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
146-43,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7,47123849.99999999999999999999999999999999
146-57,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,13333.3,6399999.99999999999999999999999999999998
146-58,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,20000,3074500000
146-77,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,10000,1537250000
146-79,Chaetoceros socialis,Centric diatom,Chaetoceros (Hyalochaete),socialis,6666.7,1675514.66666666666666666666666666666667
146-79,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7,47123849.99999999999999999999999999999999
147-6,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3,3834485.12777777777777777777777777777778
147-12,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3,1272343950.000000000000000000000000000001
147-12,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7,47123849.99999999999999999999999999999999
147-13,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,10000,14019345.375
147-16,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,10000,14019345.375
147-16,Corethron spp.,Centric diatom,Corethron,spp.,3333.3,40224351.12847222222222222222222222222235
147-17,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7,3200000
147-19,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,10000,14019345.375
147-19,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,3333.3,1272343950.000000000000000000000000000001
147-24,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7,3200000
147-27,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3,512416666.666666666666666666666666666667
147-30,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
147-34,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,30000,42058036.125
147-39,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3,53681395.52666666666666666666666666666669
147-50,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7,9346230.25
147-65,Proboscia spp.,Centric diatom,Proboscia,spp.,3333.3,221220295.833333333333333333333333333333
147-73,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,40000,1715625000
135-9,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,666.7,43284128.88888888888888888888888888888889
135-13,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,666.7,33488476.73611111111111111111111111111112
135-17,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,3333.3,257359052.800000000000000000000000000001
135-21,Tripos axialis,Dinoflagellate,Tripos (Tripoceratium),axialis,666.7,43284128.88888888888888888888888888888889
135-25,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),6666.7,2010617.6
135-41,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,3333.3,62831800.00000000000000000000000000000003
135-41,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,666.7,254468789.999999999999999999999999999999
136-37,Plastic,Other,(null),(null),666.7,(null)
144-2,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,10000,63711445.2
144-8,Pennate diatom,Pennate diatom,(null),(null),3333.3,600000.0000000000000000000000000000000003
144-25,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7,3200000
144-30,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,33333.3,46731151.24999999999999999999999999999995
144-41,Pennate diatom,Pennate diatom,(null),(null),3333.3,600000.0000000000000000000000000000000003
144-50,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
144-56,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,13333.3,571874999.999999999999999999999999999999
144-62,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
144-66,Corethron pennatum,Centric diatom,Corethron,pennatum,6666.7,195476711.111111111111111111111111111111
144-67,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,23333.3,32711805.87499999999999999999999999999995
144-71,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
144-71,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6666.7,47123849.99999999999999999999999999999999
144-74,Corethron spp.,Centric diatom,Corethron,spp.,3333.3,40224351.12847222222222222222222222222235
144-74,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,20000,28038690.75
144-75,Corethron spp.,Centric diatom,Corethron,spp.,3333.3,40224351.12847222222222222222222222222235
144-83,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3333.3,23561925.00000000000000000000000000000001
145-1,Corethron spp.,Centric diatom,Corethron,spp.,3333.3,40224351.12847222222222222222222222222235
145-4,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,23333.3,73303766.66666666666666666666666666666656
145-5,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
145-17,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,23333.3,32711805.87499999999999999999999999999995
155-22,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
155-32,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
155-37,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3,8754564.13333333333333333333333333333334
155-40,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,30000,1286718750
156-3,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,23333.3,61281948.93333333333333333333333333333325
156-3,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,3333.3,4673115.125
156-4,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000,26263692.4
156-6,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000,31415900
156-7,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,10000,3190014193.370875
156-9,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,70000,445980116.4
156-9,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
156-11,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,3333.3,124572770.138888888888888888888888888889
156-13,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,13333.3,6399999.99999999999999999999999999999998
156-18,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),3333.3,1005308.8
156-19,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,13333.3,78539749.9999999999999999999999999999998
156-20,Asteromphalus hookeri,Centric diatom,Asteromphalus,hookeri,3333.3,53681395.52666666666666666666666666666669
156-28,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,3333.3,65449791.6666666666666666666666666666667
156-29,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
156-29,Chaetoceros curvatus,Centric diatom,Chaetoceros,curvatus,3333.3,17671443.75000000000000000000000000000001
156-29,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000,857812500
157-3,Nitzschia bicapitata,Pennate diatom,Nitzschia,bicapitata,3333.3,420000.0000000000000000000000000000000002
157-4,Rhizosolenia chunii,Centric diatom,Rhizosolenia,chunni,20000,2339755701.12
157-5,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,13333.3,4253352257.827833333333333333333333333323
157-7,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3333.3,10471966.66666666666666666666666666666667
157-7,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,6666.7,514718105.600000000000000000000000000001
157-8,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3,1063338064.456958333333333333333333333334
157-9,Chaetoceros criophilus,Centric diatom,Chaetoceros (Phaeoceros),criophilus,10000,109955650
157-9,Nitzschia bicapitata,Pennate diatom,Nitzschia,bicapitata,3333.3,420000.0000000000000000000000000000000002
157-10,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,40000,105054769.6
157-11,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,33333.3,212371484
157-14,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,13333.3,4253352257.827833333333333333333333333323
157-15,Chaetoceros pendulus,Centric diatom,Chaetoceros,pendulus,6666.7,12882482.49375
157-16,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,20000,62831800
157-17,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,30000,34510366.14999999999999999999999999999996
157-17,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,3333.3,20000000.00000000000000000000000000000001
157-22,Corethron pennatum,Centric diatom,Corethron,pennatum,6666.7,195476711.111111111111111111111111111111
157-22,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
157-28,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3,97738355.55555555555555555555555555555572
157-33,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,23333.3,32711805.87499999999999999999999999999995
157-36,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,3333.3,65449791.6666666666666666666666666666667
157-44,Chaetoceros criophilus,Centric diatom,Chaetoceros (Phaeoceros),criophilus,3333.3,36651883.33333333333333333333333333333335
157-44,Corethron pennatum,Centric diatom,Corethron,pennatum,6666.7,195476711.111111111111111111111111111111
157-44,Guinardia cf. tubiformis,Centric diatom,Guinardia,cf. tubiformis,6666.7,167551466.666666666666666666666666666667
157-44,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
157-45,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,13333.3,571874999.999999999999999999999999999999
157-48,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,6666.7,20943933.33333333333333333333333333333333
157-49,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
157-50,Guinardia cf. tubiformis,Centric diatom,Guinardia,cf. tubiformis,3333.3,83775733.33333333333333333333333333333338
157-51,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7,9346230.25
158-3,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3,1063338064.456958333333333333333333333334
158-7,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7,39269874.99999999999999999999999999999999
158-7,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7,17509128.26666666666666666666666666666666
158-10,Chaetoceros pendulus,Centric diatom,Chaetoceros,pendulus,3333.3,6441241.246875
158-13,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),3333.3,1005308.8
158-13,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
158-16,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,13333.3,6399999.99999999999999999999999999999998
158-17,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,10000,14019345.375
158-18,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,20000,52527384.8
158-23,Corethron pennatum,Centric diatom,Corethron,pennatum,6666.7,195476711.111111111111111111111111111111
158-24,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,3333.3,5654862
158-25,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7,7668970.25555555555555555555555555555554
158-26,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000,31415900
158-29,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,10000,16964586
158-31,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
158-34,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,6666.7,11309724
158-35,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,13333.3,22619447.99999999999999999999999999999994
158-37,Thalassiosira spp. 40-60 µm,Centric diatom,Thalassiosira,spp.,3333.3,65449791.6666666666666666666666666666667
158-39,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
158-42,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,3333.3,31415900.00000000000000000000000000000002
158-47,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,6666.7,47123849.99999999999999999999999999999999
158-50,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,6666.7,11309724
158-53,Chaetoceros bulbosus,Centric diatom,Chaetoceros,bulbosus,3333.3,10249437.37500000000000000000000000000001
158-53,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,3333.3,31415900.00000000000000000000000000000002
158-53,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,3333.3,257359052.800000000000000000000000000001
158-53,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,13333.3,41887866.66666666666666666666666666666656
158-56,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7,3200000
158-58,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
158-59,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,23333.3,1000781249.999999999999999999999999999999
158-64,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,20000,6380028386.74175
158-65,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,46666.7,122563897.866666666666666666666666666667
158-68,Chaetoceros criophilus,Centric diatom,Chaetoceros (Phaeoceros),criophilus,6666.7,73303766.66666666666666666666666666666665
158-77,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,13333.3,35018256.53333333333333333333333333333325
158-84,Proboscia inermis,Centric diatom,Proboscia,inermis,3333.3,259856125.9765625
159-3,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,20000,857812500
159-6,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,6666.7,9346230.25
159-10,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7,3200000
159-15,Chaetoceros dichaetus,Centric diatom,Chaetoceros (Phaeoceros),dichaeta,3333.3,21237148.40000000000000000000000000000001
159-26,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7,39269874.99999999999999999999999999999999
159-26,Chaetoceros atlanticus,Centric diatom,Chaetoceros (Phaeoceros),atlanticus,3333.3,5654862
159-36,Trichotoxon reinboldii,Pennate diatom,Trichotoxon,reinboldii,3333.3,512416666.666666666666666666666666666667
159-44,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
159-44,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3,1063338064.456958333333333333333333333334
159-49,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,20000,6380028386.74175
159-50,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3,1063338064.456958333333333333333333333334
159-50,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,6666.7,17509128.26666666666666666666666666666666
159-50,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,23333.3,1000781249.999999999999999999999999999999
159-51,Chaetoceros bulbosus,Centric diatom,Chaetoceros,bulbosus,6666.7,20498874.74999999999999999999999999999999
159-53,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
159-55,Navicula cristata,Pennate diatom,Navicula,cristata,3333.3,49875000.00000000000000000000000000000002
159-78,Nitzschia longissima,Pennate diatom,Nitzschia,longissima,3333.3,16324186.66666666666666666666666666666667
159-80,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
159-81,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,10000,26263692.4
159-82,Dactyliosolen antarcticus,Centric diatom,Dactyliosolen,antarcticus,3333.3,1063338064.456958333333333333333333333334
160-16,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,10000,4800000
160-25,Guinardia spp.,Centric diatom,Guinardia,spp.,6666.7,167551466.666666666666666666666666666667
160-26,Chaetoceros pendulus,Centric diatom,Chaetoceros,pendulus,3333.3,6441241.246875
160-27,Chaetoceros criophilus,Centric diatom,Chaetoceros (Phaeoceros),criophilus,3333.3,36651883.33333333333333333333333333333335
160-34,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,20000,52527384.8
160-45,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,13333.3,35018256.53333333333333333333333333333325
160-54,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
160-81,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
160-83,Chaetoceros peruvianus < 40 µm cell width,Centric diatom,Chaetoceros (Phaeoceros),peruvianus,6666.7,125663600
160-83,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
160-85,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
160-86,Proboscia alata,Centric diatom,Proboscia,alata,10000,663660887.5
160-88,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,6666.7,20943933.33333333333333333333333333333333
160-89,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
161-7,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
161-15,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,3333.3,1675514666.666666666666666666666666666668
161-21,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3,142968750
161-35,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3,8754564.13333333333333333333333333333334
161-43,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,6666.7,285937500
161-44,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,3333.3,19634937.50000000000000000000000000000001
161-47,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,6666.7,7668970.25555555555555555555555555555554
161-78,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3,142968750
159-41,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,10000,4800000
159-41,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000,31415900
194-13,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,3333.3,10471966.66666666666666666666666666666667
193-29,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,666.7,104719666.666666666666666666666666666666
124-1,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,813.3,310451923.799999999999999999999999999999
155-2,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,6666.7,3200000
155-4,Proboscia alata,Centric diatom,Proboscia,alata,3333.3,221220295.833333333333333333333333333333
155-6,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,13333.3,41887866.66666666666666666666666666666656
155-8,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3,3834485.12777777777777777777777777777778
155-9,Proboscia alata,Centric diatom,Proboscia,alata,3333.3,221220295.833333333333333333333333333333
155-14,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
163-77,Flagellate,Flagellate,(null),(null),3333.3,218165.972222222222222222222222222222222
164-21,Dictyocha speculum,Silicoflagellate,Dictyocha,speculum,3333.3,3834485.12777777777777777777777777777778
164-23,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,3333.3,666666.666666666666666666666666666666667
165-65,Fragilariopsis kerguelensis,Pennate diatom,Fragilariopsis,kerguelensis,3333.3,8754564.13333333333333333333333333333334
165-66,Corethron pennatum,Centric diatom,Corethron,pennatum,13333.3,390953422.222222222222222222222222222222
167-1,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
167-21,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
167-34,Corethron pennatum,Centric diatom,Corethron,pennatum,6666.7,195476711.111111111111111111111111111111
167-38,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,6666.7,3351029333.333333333333333333333333333332
167-40,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,10000,31415900
167-53,Planktoniella sol,Centric diatom,Planktoniella,sol,3333.3,229074270.833333333333333333333333333333
167-57,Pseudo-nitzschia spp.,Pennate diatom,Pseudo-nitzschia,spp.,3333.3,1600000
167-58,Acanthoica quattrospina,Coccolithophore,Acanthoica,quattrospina,10000,4123336.875
167-59,Foraminifera,Foraminifera,(null),(null),666.7,2792524.44444444444444444444444444444443
166-11,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,23333.3,1000781249.999999999999999999999999999999
166-16,Thalassiothrix antarctica,Pennate diatom,Thalassiothrix,antarctica,3333.3,142968750
166-21,Corethron pennatum,Centric diatom,Corethron,pennatum,3333.3,97738355.55555555555555555555555555555572
166-25,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,6666.7,39269874.99999999999999999999999999999999
